# of SKUs,%,Cum %
1,0.7863959767306394,0.7863959767306394
2,0.1307775986117209,0.9171735753423603
3,0.041756087681777916,0.9589296630241383
4,0.01906277758570581,0.9779924406098441
5,0.009080054135339839,0.987072494745184
6,0.004971506474921205,0.9920440012201052
7,0.0027636026458113735,0.9948076038659165
8,0.0016978720880103824,0.9965054759539269
9,0.0010754099923036087,0.9975808859462305
10,0.00070188309675389,0.9982827690429844
11,0.00046014542481672983,0.9987429144678012
12,0.00032215143549736534,0.9990650659032986
13,0.00021493308408375837,0.9992799989873823
14,0.00015263723638742657,0.9994326362237698
15,0.00011863512031412992,0.999551271344084
16,9.034138869109474e-05,0.9996416127327751
17,7.023794780104344e-05,0.9997118506805761
18,4.6908028743453044e-05,0.9997587587093195
19,4.194421617800828e-05,0.9998007029254975
20,3.1023828534029786e-05,0.9998317267540315
21,2.4074490942407116e-05,0.999855801244974
22,2.1592584659684733e-05,0.9998773938296337
23,1.4146865811517583e-05,0.9998915406954452
24,1.6876962722512206e-05,0.9999084176581677
25,1.3898675183245346e-05,0.9999223163333509
26,1.017581575916177e-05,0.9999324921491101
27,1.017581575916177e-05,0.9999426679648692
28,8.190290732983865e-06,0.9999508582556021
29,6.204765706805958e-06,0.9999570630213089
30,4.715621937172528e-06,0.9999617786432461
31,4.219240680628052e-06,0.9999659978839267
32,4.963812565444766e-06,0.9999709616964921
33,5.460193821989243e-06,0.9999764218903141
34,4.963812565444766e-06,0.9999813857028795
35,3.226478167539098e-06,0.9999846121810471
36,2.2337156544501448e-06,0.9999868458967015
37,1.2409531413611916e-06,0.9999880868498429
38,1.9855250261779064e-06,0.999990072374869
39,1.4891437696334298e-06,0.9999915615186387
40,9.927625130889532e-07,0.9999925542811517
41,9.927625130889532e-07,0.9999935470436648
42,2.481906282722383e-07,0.9999937952342931
43,9.927625130889532e-07,0.9999947879968062
44,1.7373343979056682e-06,0.9999965253312041
45,4.963812565444766e-07,0.9999970217124606
46,4.963812565444766e-07,0.9999975180937172
47,2.481906282722383e-07,0.9999977662843454
48,7.445718848167149e-07,0.9999985108562303
50,1.4891437696334298e-06,0.9999999999999999
